year,rank,candidateRank,selectionRank,importanceScore,importanceReasons,paperId,title,authors,venue,publicationDate,citationCount,influentialCitationCount,category,abstract,doi,arxiv,pubmed,url,semanticScholarUrl,openAccessPdf,fieldsOfStudy,candidate
2015,1,1,,254.162,citations=929; influential=61; recognized venue; review/survey; clinical/rehab relevance; BCI term matches=3; title BCI matches=1; open PDF metadata,3b1c7b4ca87c3f61f3c7931aa6c108b77d6ce185,fNIRS-based brain-computer interfaces: a review,"Noman Naseer, K. Hong",Frontiers in Human Neuroscience,2015-01-28,929,61,Motor Imagery and Movement Decoding,"A brain-computer interface (BCI) is a communication system that allows the use of brain activity to control computers or other external devices. It can, by bypassing the peripheral nervous system, provide a means of communication for people suffering from severe motor disabilities or in a persistent vegetative state. In this paper, brain-signal generation tasks, noise removal methods, feature extraction/selection schemes, and classification techniques for fNIRS-based BCI are reviewed. The most common brain areas for fNIRS BCI are the primary motor cortex and the prefrontal cortex. In relation to the motor cortex, motor imagery tasks were preferred to motor execution tasks since possible proprioceptive feedback could be avoided. In relation to the prefrontal cortex, fNIRS showed a significant advantage due to no hair in detecting the cognitive tasks like mental arithmetic, music imagery, emotion induction, etc. In removing physiological noise in fNIRS data, band-pass filtering was mostly used. However, more advanced techniques like adaptive filtering, independent component analysis (ICA), multi optodes arrangement, etc. are being pursued to overcome the problem that a band-pass filter cannot be used when both brain and physiological signals occur within a close band. In extracting features related to the desired brain signal, the mean, variance, peak value, slope, skewness, and kurtosis of the noised-removed hemodynamic response were used. For classification, the linear discriminant analysis method provided simple but good performance among others: support vector machine (SVM), hidden Markov model (HMM), artificial neural network, etc. fNIRS will be more widely used to monitor the occurrence of neuro-plasticity after neuro-rehabilitation and neuro-stimulation. Technical breakthroughs in the future are expected via bundled-type probes, hybrid EEG-fNIRS BCI, and through the detection of initial dips.",10.3389/fnhum.2015.00003,,25674060,https://doi.org/10.3389/fnhum.2015.00003,https://www.semanticscholar.org/paper/3b1c7b4ca87c3f61f3c7931aa6c108b77d6ce185,https://www.frontiersin.org/articles/10.3389/fnhum.2015.00003/pdf,Computer Science; Engineering; Medicine,True
2015,2,2,,247.527,citations=723; influential=133; recognized venue; BCI term matches=1; title BCI matches=1; open PDF metadata,ab5f4a6c431ba17e7a80bb914b82e3b8ac1b90e4,Filter bank canonical correlation analysis for implementing a high-speed SSVEP-based brain–computer interface,"Xiaogang Chen, Yijun Wang, Shangkai Gao, T. Jung, Xiaorong Gao",Journal of Neural Engineering,2015-06-02,723,133,"SSVEP, P300, and ERP Spellers",,10.1088/1741-2560/12/4/046008,,26035476,https://doi.org/10.1088/1741-2560/12/4/046008,https://www.semanticscholar.org/paper/ab5f4a6c431ba17e7a80bb914b82e3b8ac1b90e4,,Computer Science; Medicine; Physics,True
2015,3,3,,223.788,citations=351; influential=61; recognized venue; dataset/benchmark; BCI term matches=3; open PDF metadata,5f023f5a2c385d09bb9faf5b2cb502307316435f,A Comparison Study of Canonical Correlation Analysis Based Methods for Detecting Steady-State Visual Evoked Potentials,"M. Nakanishi, Yijun Wang, Yu-Te Wang, T. Jung, D. Yao",PLoS ONE,2015-10-19,351,61,"SSVEP, P300, and ERP Spellers","Canonical correlation analysis (CCA) has been widely used in the detection of the steady-state visual evoked potentials (SSVEPs) in brain-computer interfaces (BCIs). The standard CCA method, which uses sinusoidal signals as reference signals, was first proposed for SSVEP detection without calibration. However, the detection performance can be deteriorated by the interference from the spontaneous EEG activities. Recently, various extended methods have been developed to incorporate individual EEG calibration data in CCA to improve the detection performance. Although advantages of the extended CCA methods have been demonstrated in separate studies, a comprehensive comparison between these methods is still missing. This study performed a comparison of the existing CCA-based SSVEP detection methods using a 12-class SSVEP dataset recorded from 10 subjects in a simulated online BCI experiment. Classification accuracy and information transfer rate (ITR) were used for performance evaluation. The results suggest that individual calibration data can significantly improve the detection performance. Furthermore, the results showed that the combination method based on the standard CCA and the individual template based CCA (IT-CCA) achieved the highest performance.",10.1371/journal.pone.0140703,,26479067,https://doi.org/10.1371/journal.pone.0140703,https://www.semanticscholar.org/paper/5f023f5a2c385d09bb9faf5b2cb502307316435f,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0140703&type=printable,Computer Science; Medicine,True
2015,4,4,,220.943,citations=499; influential=29; recognized venue; clinical/rehab relevance; BCI term matches=2; title BCI matches=2; open PDF metadata,4cf44ca615a4c5556296d4327e5cef938278c70f,A Randomized Controlled Trial of EEG-Based Motor Imagery Brain-Computer Interface Robotic Rehabilitation for Stroke,"K. Ang, K. Chua, K. Phua, C. Wang, Z. Chin, C. Kuah, et al.",Clinical EEG and Neuroscience,2015-10-01,499,29,Motor Imagery and Movement Decoding,,10.1177/1550059414522229,,24756025,https://doi.org/10.1177/1550059414522229,https://www.semanticscholar.org/paper/4cf44ca615a4c5556296d4327e5cef938278c70f,,Engineering; Medicine; Psychology,True
2015,5,5,,218.036,citations=556; influential=24; recognized venue; clinical/rehab relevance; BCI term matches=2; title BCI matches=1; open PDF metadata,403b2b1f754bd2546b42ccfc6213f2eb44cf14a0,Decoding motor imagery from the posterior parietal cortex of a tetraplegic human,"T. Aflalo, S. Kellis, Christian Klaes, Brian Lee, Ying Shi, K. Pejsa, et al.",Science,2015-05-22,556,24,Motor Imagery and Movement Decoding,"Brain imagination to control external devices Studies in monkeys have implicated the brain's posterior parietal cortex in high-level coding of planned and imagined actions. Aflalo et al. implanted two microelectrode arrays in the posterior parietal cortex of a tetraplegic patient (see the Perspective by Pruszynski and Diedrichsen). They asked the patient to imagine various types of limb or eye movements. As predicted, motor imagery involved the same types of neural population activity involved in actual movements, which could potentially be exploited in prosthetic limb control. Science, this issue p. 906; see also p. 860 Neurons in the human posterior parietal cortex encode high-level aspects of imagined movements. [Also see Perspective by Pruszynski and Diedrichsen] Nonhuman primate and human studies have suggested that populations of neurons in the posterior parietal cortex (PPC) may represent high-level aspects of action planning that can be used to control external devices as part of a brain-machine interface. However, there is no direct neuron-recording evidence that human PPC is involved in action planning, and the suitability of these signals for neuroprosthetic control has not been tested. We recorded neural population activity with arrays of microelectrodes implanted in the PPC of a tetraplegic subject. Motor imagery could be decoded from these neural populations, including imagined goals, trajectories, and types of movement. These findings indicate that the PPC of humans represents high-level, cognitive aspects of action and that the PPC can be a rich source for cognitive control signals for neural prosthetics that assist paralyzed patients.",10.1126/science.aaa5417,,25999506,https://doi.org/10.1126/science.aaa5417,https://www.semanticscholar.org/paper/403b2b1f754bd2546b42ccfc6213f2eb44cf14a0,https://science.sciencemag.org/content/sci/348/6237/906.full.pdf,Medicine; Psychology,True
2015,6,6,,216.103,citations=597; influential=38; clinical/rehab relevance; BCI term matches=1; title BCI matches=1; open PDF metadata,2a38bc24eee6d8f381e9df8c99a328386d03f1f8,Brain–computer interface boosts motor imagery practice during stroke recovery,"F. Pichiorri, G. Morone, M. Petti, J. Toppi, I. Pisotta, M. Molinari, et al.",Annals of Neurology,2015-05-01,597,38,Motor Imagery and Movement Decoding,,10.1002/ana.24390,,25712802,https://doi.org/10.1002/ana.24390,https://www.semanticscholar.org/paper/2a38bc24eee6d8f381e9df8c99a328386d03f1f8,https://iris.uniroma1.it/bitstream/11573/783619/7/Pichiorri_Postprint_Brain%e2%80%93Computer-Interface_2015.pdf,Engineering; Medicine; Psychology,True
2015,7,7,,202.205,citations=335; influential=11; recognized venue; clinical/rehab relevance; invasive/high-bandwidth BCI; BCI term matches=3; title BCI matches=2; open PDF metadata,6d5a032bb6bf6e5ce3ba5bd12415b9068d359a80,Virtual typing by people with tetraplegia using a self-calibrating intracortical brain-computer interface,"B. Jarosiewicz, Anish A. Sarma, D. Bacher, Nicolas Y. Masse, J. Simeral, B. Sorice, et al.",Science Translational Medicine,2015-11-11,335,11,Motor Imagery and Movement Decoding,"Individuals with tetraplegia are able to type self-paced for hours across multiple days using a self-calibrating point-and-click intracortical brain-computer interface. Prolonged typing with refined BCI The fact that the brain can be hooked up to a computer to allow paralyzed individuals to type is already a technological feat. But, these so-called brain-computer interface technologies can be tiring and burdensome for users, requiring frequent disruptions for recalibration when the decoded neural signals change. Jarosiewicz and colleagues therefore combined three calibration methods—retrospective target interference, velocity bias correction, and adaptive tracking of neural features—for seamless typing and stable neural control. This combination allowed two individuals with tetraplegia and with cortical microelectrode arrays to compose long texts at their own paces, with no need to interrupt typing for recalibration. Brain-computer interfaces (BCIs) promise to restore independence for people with severe motor disabilities by translating decoded neural activity directly into the control of a computer. However, recorded neural signals are not stationary (that is, can change over time), degrading the quality of decoding. Requiring users to pause what they are doing whenever signals change to perform decoder recalibration routines is time-consuming and impractical for everyday use of BCIs. We demonstrate that signal nonstationarity in an intracortical BCI can be mitigated automatically in software, enabling long periods (hours to days) of self-paced point-and-click typing by people with tetraplegia, without degradation in neural control. Three key innovations were included in our approach: tracking the statistics of the neural activity during self-timed pauses in neural control, velocity bias correction during neural control, and periodically recalibrating the decoder using data acquired during typing by mapping neural activity to movement intentions that are inferred retrospectively based on the user’s self-selected targets. These methods, which can be extended to a variety of neurally controlled applications, advance the potential for intracortical BCIs to help restore independent communication and assistive device control for people with paralysis.",10.1126/scitranslmed.aac7328,,26560357,https://doi.org/10.1126/scitranslmed.aac7328,https://www.semanticscholar.org/paper/6d5a032bb6bf6e5ce3ba5bd12415b9068d359a80,https://stm.sciencemag.org/content/scitransmed/7/313/313ra179.full.pdf,Computer Science; Engineering; Medicine,True
2015,8,8,,202.072,citations=497; influential=22; clinical/rehab relevance; BCI term matches=2; open PDF metadata,1be8662e4f308d9e967b1cfe66b254ad40c27e9c,Brain computer interfacing: Applications and challenges,"Sarah N. Abdulkader, Ayman Atia, Mostafa-Sami M. Mostafa",,2015-07-01,497,22,"SSVEP, P300, and ERP Spellers","Abstract Brain computer interface technology represents a highly growing field of research with application systems. Its contributions in medical fields range from prevention to neuronal rehabilitation for serious injuries. Mind reading and remote communication have their unique fingerprint in numerous fields such as educational, self-regulation, production, marketing, security as well as games and entertainment. It creates a mutual understanding between users and the surrounding systems. This paper shows the application areas that could benefit from brain waves in facilitating or achieving their goals. We also discuss major usability and technical challenges that face brain signals utilization in various components of BCI system. Different solutions that aim to limit and decrease their effects have also been reviewed.",10.1016/J.EIJ.2015.06.002,,,https://doi.org/10.1016/J.EIJ.2015.06.002,https://www.semanticscholar.org/paper/1be8662e4f308d9e967b1cfe66b254ad40c27e9c,https://doi.org/10.1016/j.eij.2015.06.002,Computer Science; Medicine,True
2015,9,9,,201.246,citations=337; influential=21; recognized venue; BCI term matches=3; title BCI matches=1; open PDF metadata,34ea5d044d907d458598ba036c389ab35de17fb9,EEG Source Imaging Enhances the Decoding of Complex Right Hand Motor Imagery Tasks,"B. Edelman, Bryan S. Baxter, B. He",IEEE Transactions on Biomedical Engineering,2015-08-12,337,21,Motor Imagery and Movement Decoding,"Goal: Sensorimotor-based brain-computer interfaces (BCIs) have achieved successful control of real and virtual devices in up to three dimensions; however, the traditional sensor-based paradigm limits the intuitive use of these systems. Many control signals for state-of-the-art BCIs involve imagining the movement of body parts that have little to do with the output command, revealing a cognitive disconnection between the user's intent and the action of the end effector. Therefore, there is a need to develop techniques that can identify with high spatial resolution the self-modulated neural activity reflective of the actions of a helpful output device. Methods: We extend previous EEG source imaging (ESI) work to decoding natural hand/wrist manipulations by applying a novel technique to classifying four complex motor imaginations of the right hand: flexion, extension, supination, and pronation. Results: We report an increase of up to 18.6% for individual task classification and 12.7% for overall classification using the proposed ESI approach over the traditional sensor-based method. Conclusion: ESI is able to enhance BCI performance of decoding complex right-hand motor imagery tasks. Significance: This study may lead to the development of BCI systems with naturalistic and intuitive motor imaginations, thus facilitating broad use of noninvasive BCIs.",10.1109/TBME.2015.2467312,,26276986,https://doi.org/10.1109/TBME.2015.2467312,https://www.semanticscholar.org/paper/34ea5d044d907d458598ba036c389ab35de17fb9,https://ieeexplore.ieee.org/ielx7/10/7360844/07192613.pdf,Computer Science; Engineering; Medicine; Psychology,True
2015,10,10,,199.632,citations=429; influential=11; review/survey; dataset/benchmark; clinical/rehab relevance; BCI term matches=1; title BCI matches=1; open PDF metadata,9c0ed142aa4afb27c3f3bbb1f09d1b867edee249,Transfer Learning in Brain-Computer Interfaces,"V. Jayaram, Morteza Alamgir, Y. Altun, B. Scholkopf, M. Grosse-Wentrup",IEEE Computational Intelligence Magazine,2015-12-01,429,11,Motor Imagery and Movement Decoding,"The performance of brain-computer interfaces (BCIs) improves with the amount of available training data; the statistical distribution of this data, however, varies across subjects as well as across sessions within individual subjects, limiting the transferability of training data or trained models between them. In this article, we review current transfer learning techniques in BCIs that exploit shared structure between training data of multiple subjects and/or sessions to increase performance. We then present a framework for transfer learning in the context of BCIs that can be applied to any arbitrary feature space, as well as a novel regression estimation method that is specifically designed for the structure of a system based on the electroencephalogram (EEG). We demonstrate the utility of our framework and method on subject-to-subject transfer in a motor-imagery paradigm as well as on session-to-session transfer in one patient diagnosed with amyotrophic lateral sclerosis (ALS), showing that it is able to outperform other comparable methods on an identical dataset.",10.1109/MCI.2015.2501545,1512.00296,,https://doi.org/10.1109/MCI.2015.2501545,https://www.semanticscholar.org/paper/9c0ed142aa4afb27c3f3bbb1f09d1b867edee249,http://arxiv.org/pdf/1512.00296,Biology; Computer Science,True
