year,rank,candidateRank,selectionRank,importanceScore,importanceReasons,paperId,title,authors,venue,publicationDate,citationCount,influentialCitationCount,category,abstract,doi,arxiv,pubmed,url,semanticScholarUrl,openAccessPdf,fieldsOfStudy,candidate,githubUrl
2012,1,,1,269.531,citations=1201; influential=156; recognized venue; dataset/benchmark; BCI term matches=3; title BCI matches=1; open PDF metadata,bc122aa1332985c4b346fc34b5cfdd65c22a08ea,Filter Bank Common Spatial Pattern Algorithm on BCI Competition IV Datasets 2a and 2b,"K. Ang, Z. Chin, C. Wang, Cuntai Guan, Haihong Zhang",Frontiers in Neuroscience,2012-03-29,1201,156,Motor Imagery and Movement Decoding,"The Common Spatial Pattern (CSP) algorithm is an effective and popular method for classifying 2-class motor imagery electroencephalogram (EEG) data, but its effectiveness depends on the subject-specific frequency band. This paper presents the Filter Bank Common Spatial Pattern (FBCSP) algorithm to optimize the subject-specific frequency band for CSP on Datasets 2a and 2b of the Brain-Computer Interface (BCI) Competition IV. Dataset 2a comprised 4 classes of 22 channels EEG data from 9 subjects, and Dataset 2b comprised 2 classes of 3 bipolar channels EEG data from 9 subjects. Multi-class extensions to FBCSP are also presented to handle the 4-class EEG data in Dataset 2a, namely, Divide-and-Conquer (DC), Pair-Wise (PW), and One-Versus-Rest (OVR) approaches. Two feature selection algorithms are also presented to select discriminative CSP features on Dataset 2b, namely, the Mutual Information-based Best Individual Feature (MIBIF) algorithm, and the Mutual Information-based Rough Set Reduction (MIRSR) algorithm. The single-trial classification accuracies were presented using 10 × 10-fold cross-validations on the training data and session-to-session transfer on the evaluation data from both datasets. Disclosure of the test data labels after the BCI Competition IV showed that the FBCSP algorithm performed relatively the best among the other submitted algorithms and yielded a mean kappa value of 0.569 and 0.600 across all subjects in Datasets 2a and 2b respectively.",10.3389/fnins.2012.00039,,22479236,https://doi.org/10.3389/fnins.2012.00039,https://www.semanticscholar.org/paper/bc122aa1332985c4b346fc34b5cfdd65c22a08ea,https://www.frontiersin.org/articles/10.3389/fnins.2012.00039/pdf,Computer Science; Engineering; Medicine,False,
2012,2,,2,233.803,citations=1125; influential=29; review/survey; clinical/rehab relevance; BCI term matches=2; title BCI matches=1; open PDF metadata,10b31d3058621d7c789cad876ed2dc2653e06b1b,"Brain Computer Interfaces, a Review","Luis F. Nicolás-Alonso, J. G. Gil",Italian National Conference on Sensors,2012-01-31,1125,29,Rehabilitation and Neuroprosthetics,"A brain-computer interface (BCI) is a hardware and software communications system that permits cerebral activity alone to control computers or external devices. The immediate goal of BCI research is to provide communications capabilities to severely disabled people who are totally paralyzed or ‘locked in’ by neurological neuromuscular disorders, such as amyotrophic lateral sclerosis, brain stem stroke, or spinal cord injury. Here, we review the state-of-the-art of BCIs, looking at the different steps that form a standard BCI: signal acquisition, preprocessing or signal enhancement, feature extraction, classification and the control interface. We discuss their advantages, drawbacks, and latest advances, and we survey the numerous technologies reported in the scientific literature to design each step of a BCI. First, the review examines the neuroimaging modalities used in the signal acquisition step, each of which monitors a different functional brain activity such as electrical, magnetic or metabolic activity. Second, the review discusses different electrophysiological control signals that determine user intentions, which can be detected in brain activity. Third, the review includes some techniques used in the signal enhancement step to deal with the artifacts in the control signals and improve the performance. Fourth, the review studies some mathematic algorithms used in the feature extraction and classification steps which translate the information in the control signals into commands that operate a computer or other device. Finally, the review provides an overview of various BCI applications that control a range of devices.",10.3390/s120201211,,22438708,https://doi.org/10.3390/s120201211,https://www.semanticscholar.org/paper/10b31d3058621d7c789cad876ed2dc2653e06b1b,https://www.mdpi.com/1424-8220/12/2/1211/pdf?version=1403316967,Computer Science; Engineering; Medicine,False,
2012,3,,3,232.622,citations=901; influential=77; BCI term matches=1; title BCI matches=1; open PDF metadata,955e2d6b7f237add6cde6b9786efbb7d9ef6893a,Brain-Computer Interfaces: Principles and Practice,"J. Wolpaw, E. Wolpaw",,2012-01-24,901,77,General BCI Methods and Systems,,,,,https://www.semanticscholar.org/paper/955e2d6b7f237add6cde6b9786efbb7d9ef6893a,https://www.semanticscholar.org/paper/955e2d6b7f237add6cde6b9786efbb7d9ef6893a,,Computer Science; Engineering; Psychology,False,
2012,4,,4,202.564,citations=647; influential=21; BCI term matches=1; title BCI matches=1; open PDF metadata,5904e38ea590c7eda3beeabdee5292577a830b84,Brain-computer interfaces in medicine.,"J. Shih, D. Krusienski, J. Wolpaw",Mayo Clinic proceedings,2012-03-01,647,21,General BCI Methods and Systems,,10.1016/j.mayocp.2011.12.008,,22325364,https://doi.org/10.1016/j.mayocp.2011.12.008,https://www.semanticscholar.org/paper/5904e38ea590c7eda3beeabdee5292577a830b84,http://www.mayoclinicproceedings.org/article/S0025619612001231/pdf,Engineering; Medicine,False,
2012,5,,5,179.679,citations=375; influential=11; BCI term matches=1; title BCI matches=1; open PDF metadata,15cd5d641accc81dcd64469526127706954dff26,Brain-Computer Interfaces: Beyond Medical Applications,"J. V. Erp, F. Lotte, M. Tangermann",Computer,2012-04-01,375,11,General BCI Methods and Systems,,10.1109/MC.2012.107,,,https://doi.org/10.1109/MC.2012.107,https://www.semanticscholar.org/paper/15cd5d641accc81dcd64469526127706954dff26,https://hal.inria.fr/hal-00688344/file/computer12_acceptedDraft.pdf,Computer Science; Medicine,False,
2012,6,,6,189.543,citations=364; influential=14; BCI term matches=4; title BCI matches=2; open PDF metadata,56d986c576d37c2f9599cabb8ba5a59660971045,P300 brain computer interface: current challenges and emerging trends,"R. Fazel-Rezai, B. Allison, C. Guger, E. Sellers, S. Kleih, A. Kübler",Frontiers in Neuroengineering,2012-07-17,364,14,Motor Imagery and Movement Decoding,"A brain-computer interface (BCI) enables communication without movement based on brain signals measured with electroencephalography (EEG). BCIs usually rely on one of three types of signals: the P300 and other components of the event-related potential (ERP), steady state visual evoked potential (SSVEP), or event related desynchronization (ERD). Although P300 BCIs were introduced over twenty years ago, the past few years have seen a strong increase in P300 BCI research. This closed-loop BCI approach relies on the P300 and other components of the ERP, based on an oddball paradigm presented to the subject. In this paper, we overview the current status of P300 BCI technology, and then discuss new directions: paradigms for eliciting P300s; signal processing methods; applications; and hybrid BCIs. We conclude that P300 BCIs are quite promising, as several emerging directions have not yet been fully explored and could lead to improvements in bit rate, reliability, usability, and flexibility.",10.3389/fneng.2012.00014,,22822397,https://doi.org/10.3389/fneng.2012.00014,https://www.semanticscholar.org/paper/56d986c576d37c2f9599cabb8ba5a59660971045,https://www.frontiersin.org/articles/10.3389/fneng.2012.00014/pdf,Computer Science; Engineering; Medicine,False,
2012,7,,7,186.74,citations=289; influential=13; recognized venue; BCI term matches=1; title BCI matches=1; open PDF metadata,f3acfc0bfd8cf1891965c7a1f5358367e86248be,A Hybrid Brain Computer Interface to Control the Direction and Speed of a Simulated or Real Wheelchair,"J. Long, Yuanqing Li, Hongtao Wang, Tianyou Yu, Jiahui Pan, Feng Li",IEEE transactions on neural systems and rehabilitation engineering,2012-06-06,289,13,"Hybrid, Affective, and Closed-loop BCIs",,10.1109/TNSRE.2012.2197221,,22692936,https://doi.org/10.1109/TNSRE.2012.2197221,https://www.semanticscholar.org/paper/f3acfc0bfd8cf1891965c7a1f5358367e86248be,,Computer Science; Engineering; Medicine,False,
2012,8,,8,186.473,citations=271; influential=25; BCI term matches=1; title BCI matches=1; open PDF metadata,bf420efbfaed18150e2d5ed42fc8cb2120a4f8d5,Psychological predictors of SMR-BCI performance.,"E. Hammer, Sebastian Halder, B. Blankertz, C. Sannelli, Thorsten Dickhaus, S. Kleih, et al.",Biological Psychology,,271,25,General BCI Methods and Systems,,10.1016/j.biopsycho.2011.09.006,,21964375,https://doi.org/10.1016/j.biopsycho.2011.09.006,https://www.semanticscholar.org/paper/bf420efbfaed18150e2d5ed42fc8cb2120a4f8d5,,Medicine; Psychology,False,
2012,9,,9,173.797,citations=270; influential=8; clinical/rehab relevance; BCI term matches=2; title BCI matches=1; open PDF metadata,aa5ec112ead30062c44732fb9d3a9b5875df1ca7,Gaming control using a wearable and wireless EEG-based brain-computer interface device with novel dry foam-based sensors,"Lun-De Liao, Chi-Yu Chen, I-Jan Wang, Sheng-Fu Chen, Shih-Yu Li, Bo-Wei Chen, et al.",Journal of NeuroEngineering and Rehabilitation,2012-01-28,270,8,Rehabilitation and Neuroprosthetics,"A brain-computer interface (BCI) is a communication system that can help users interact with the outside environment by translating brain signals into machine commands. The use of electroencephalographic (EEG) signals has become the most common approach for a BCI because of their usability and strong reliability. Many EEG-based BCI devices have been developed with traditional wet- or micro-electro-mechanical-system (MEMS)-type EEG sensors. However, those traditional sensors have uncomfortable disadvantage and require conductive gel and skin preparation on the part of the user. Therefore, acquiring the EEG signals in a comfortable and convenient manner is an important factor that should be incorporated into a novel BCI device. In the present study, a wearable, wireless and portable EEG-based BCI device with dry foam-based EEG sensors was developed and was demonstrated using a gaming control application. The dry EEG sensors operated without conductive gel; however, they were able to provide good conductivity and were able to acquire EEG signals effectively by adapting to irregular skin surfaces and by maintaining proper skin-sensor impedance on the forehead site. We have also demonstrated a real-time cognitive stage detection application of gaming control using the proposed portable device. The results of the present study indicate that using this portable EEG-based BCI device to conveniently and effectively control the outside world provides an approach for researching rehabilitation engineering.",10.1186/1743-0003-9-5,,22284235,https://doi.org/10.1186/1743-0003-9-5,https://www.semanticscholar.org/paper/aa5ec112ead30062c44732fb9d3a9b5875df1ca7,https://jneuroengrehab.biomedcentral.com/counter/pdf/10.1186/1743-0003-9-5,Computer Science; Engineering; Medicine,False,
2012,10,,10,187.838,citations=259; influential=13; recognized venue; BCI term matches=2; title BCI matches=2; open PDF metadata,6a6b886e3cad634c892f310288550be57397a7a6,Development of an SSVEP-based BCI spelling system adopting a QWERTY-style LED keyboard.,"Han-Jeong Hwang, Jeong-Hwan Lim, Young-Jin Jung, Han Choi, S. W. Lee, C. Im",Journal of Neuroscience Methods,2012-06-30,259,13,"SSVEP, P300, and ERP Spellers",,10.1016/j.jneumeth.2012.04.011,,22580222,https://doi.org/10.1016/j.jneumeth.2012.04.011,https://www.semanticscholar.org/paper/6a6b886e3cad634c892f310288550be57397a7a6,,Computer Science; Engineering; Medicine,False,
