year,rank,candidateRank,selectionRank,importanceScore,importanceReasons,paperId,title,authors,venue,publicationDate,citationCount,influentialCitationCount,category,abstract,doi,arxiv,pubmed,url,semanticScholarUrl,openAccessPdf,fieldsOfStudy,candidate
2010,1,1,,239.044,citations=677; influential=51; recognized venue; review/survey; BCI term matches=3; title BCI matches=1; open PDF metadata,18f86e260650ff0f2103a685bf368c93cc2e89eb,A Survey of Stimulation Methods Used in SSVEP-Based BCIs,"Dan-hua Zhu, J. Bieger, G. G. Molina, Ronald M. Aarts",Computational Intelligence and Neuroscience,2010-03-07,677,51,"SSVEP, P300, and ERP Spellers","Brain-computer interface (BCI) systems based on the steady-state visual evoked potential (SSVEP) provide higher information throughput and require shorter training than BCI systems using other brain signals. To elicit an SSVEP, a repetitive visual stimulus (RVS) has to be presented to the user. The RVS can be rendered on a computer screen by alternating graphical patterns, or with external light sources able to emit modulated light. The properties of an RVS (e.g., frequency, color) depend on the rendering device and influence the SSVEP characteristics. This affects the BCI information throughput and the levels of user safety and comfort. Literature on SSVEP-based BCIs does not generally provide reasons for the selection of the used rendering devices or RVS properties. In this paper, we review the literature on SSVEP-based BCIs and comprehensively report on the different RVS choices in terms of rendering devices, properties, and their potential influence on BCI performance, user safety and comfort.",10.1155/2010/702357,,20224799,https://doi.org/10.1155/2010/702357,https://www.semanticscholar.org/paper/18f86e260650ff0f2103a685bf368c93cc2e89eb,https://downloads.hindawi.com/journals/cin/2010/702357.pdf,Computer Science; Medicine,True
2010,2,2,,236.861,citations=686; influential=78; recognized venue; BCI term matches=1; title BCI matches=1; open PDF metadata,d0007aa91ac3f78db181fe185a39a79b41e45db9,Neurophysiological predictor of SMR-based BCI performance,"B. Blankertz, C. Sannelli, Sebastian Halder, E. Hammer, A. Kübler, K. Müller, et al.",NeuroImage,2010-07-15,686,78,General BCI Methods and Systems,,10.1016/j.neuroimage.2010.03.022,,20303409,https://doi.org/10.1016/j.neuroimage.2010.03.022,https://www.semanticscholar.org/paper/d0007aa91ac3f78db181fe185a39a79b41e45db9,http://doc.ml.tu-berlin.de/bbci/publications/BlaSanHalHamKueMueCurDic10.pdf,Computer Science; Engineering; Medicine; Psychology,True
2010,3,3,,234.439,citations=755; influential=51; recognized venue; BCI term matches=3; title BCI matches=1; open PDF metadata,ee51ca64379ef251ffc6afaa27836721c07822c3,The Hybrid BCI,"G. Pfurtscheller, B. Allison, C. Brunner, G. Bauernfeind, T. Solis-Escalante, Reinhold Scherer, et al.",Frontiers in Neuroscience,2010-02-22,755,51,Motor Imagery and Movement Decoding,"Nowadays, everybody knows what a hybrid car is. A hybrid car normally has two engines to enhance energy efficiency and reduce CO2 output. Similarly, a hybrid brain-computer interface (BCI) is composed of two BCIs, or at least one BCI and another system. A hybrid BCI, like any BCI, must fulfill the following four criteria: (i) the device must rely on signals recorded directly from the brain; (ii) there must be at least one recordable brain signal that the user can intentionally modulate to effect goal-directed behaviour; (iii) real time processing; and (iv) the user must obtain feedback. This paper introduces hybrid BCIs that have already been published or are in development. We also introduce concepts for future work. We describe BCIs that classify two EEG patterns: one is the event-related (de)synchronisation (ERD, ERS) of sensorimotor rhythms, and the other is the steady-state visual evoked potential (SSVEP). Hybrid BCIs can either process their inputs simultaneously, or operate two systems sequentially, where the first system can act as a “brain switch”. For example, we describe a hybrid BCI that simultaneously combines ERD and SSVEP BCIs. We also describe a sequential hybrid BCI, in which subjects could use a brain switch to control an SSVEP-based hand orthosis. Subjects who used this hybrid BCI exhibited about half the false positives encountered while using the SSVEP BCI alone. A brain switch can also rely on hemodynamic changes measured through near-infrared spectroscopy (NIRS). Hybrid BCIs can also use one brain signal and a different type of input. This additional input can be an electrophysiological signal such as the heart rate, or a signal from an external device such as an eye tracking system.",10.3389/fnpro.2010.00003,,20582271,https://doi.org/10.3389/fnpro.2010.00003,https://www.semanticscholar.org/paper/ee51ca64379ef251ffc6afaa27836721c07822c3,https://www.frontiersin.org/articles/10.3389/fnpro.2010.00003/pdf,Computer Science; Engineering; Medicine,True
2010,4,4,,224.076,citations=587; influential=61; BCI term matches=3; title BCI matches=2; open PDF metadata,d58ee0745c09873c26109231207ddb4b8b3d112d,A novel P300-based brain-computer interface stimulus presentation paradigm: moving beyond rows and columns,"G. Townsend, B. LaPallo, C. Boulay, D. Krusienski, G. Frye, C. Hauser, et al.",Clinical Neurophysiology,2010-03-26,587,61,"SSVEP, P300, and ERP Spellers","Objective An electroencephalographic brain-computer interface (BCI) can provide a non-muscular means of communication for people with amyotrophic lateral sclerosis (ALS) or other neuromuscular disorders. We present a novel P300-based BCI stimulus presentation – the checkerboard paradigm (CBP). CBP performance is compared to that of the standard row/column paradigm (RCP) introduced by Farwell and Donchin (1988). Methods Using an 8×9 matrix of alphanumeric characters and keyboard commands, 18 participants used the CBP and RCP in counter-balanced fashion. With approximately 9 – 12 minutes of calibration data, we used a stepwise linear discriminant analysis for online classification of subsequent data. Results Mean online accuracy was significantly higher for the CBP, 92%, than for the RCP, 77%. Correcting for extra selections due to errors, mean bit rate was also significantly higher for the CBP, 23 bits/min, than for the RCP, 17 bits/min. Moreover, the two paradigms produced significantly different waveforms. Initial tests with three advanced ALS participants produced similar results. Furthermore, these individuals preferred the CBP to the RCP. Conclusions These results suggest that the CBP is markedly superior to the RCP in performance and user acceptability. Significance The CBP has the potential to provide a substantially more effective BCI than the RCP. This is especially important for people with severe neuromuscular disabilities.",10.1016/j.clinph.2010.01.030,,20347387,https://doi.org/10.1016/j.clinph.2010.01.030,https://www.semanticscholar.org/paper/d58ee0745c09873c26109231207ddb4b8b3d112d,https://europepmc.org/articles/pmc2879474?pdf=render,Medicine; Psychology,True
2010,5,5,,210.136,citations=388; influential=32; recognized venue; BCI term matches=2; title BCI matches=1; open PDF metadata,b048d6ab1b63b0ab3c1adcce69e88ea2577156d2,(C)overt attention and visual speller design in an ERP-based brain-computer interface,"M. Treder, B. Blankertz",Behavioral and Brain Functions,2010-05-28,388,32,Motor Imagery and Movement Decoding,"BackgroundIn a visual oddball paradigm, attention to an event usually modulates the event-related potential (ERP). An ERP-based brain-computer interface (BCI) exploits this neural mechanism for communication. Hitherto, it was unclear to what extent the accuracy of such a BCI requires eye movements (overt attention) or whether it is also feasible for targets in the visual periphery (covert attention). Also unclear was how the visual design of the BCI can be improved to meet peculiarities of peripheral vision such as low spatial acuity and crowding.MethodHealthy participants (N = 13) performed a copy-spelling task wherein they had to count target intensifications. EEG and eye movements were recorded concurrently. First, (c)overt attention was investigated by way of a target fixation condition and a central fixation condition. In the latter, participants had to fixate a dot in the center of the screen and allocate their attention to a target in the visual periphery. Second, the effect of visual speller layout was investigated by comparing the symbol Matrix to an ERP-based Hex-o-Spell, a two-levels speller consisting of six discs arranged on an invisible hexagon.ResultsWe assessed counting errors, ERP amplitudes, and offline classification performance. There is an advantage (i.e., less errors, larger ERP amplitude modulation, better classification) of overt attention over covert attention, and there is also an advantage of the Hex-o-Spell over the Matrix. Using overt attention, P1, N1, P2, N2, and P3 components are enhanced by attention. Using covert attention, only N2 and P3 are enhanced for both spellers, and N1 and P2 are modulated when using the Hex-o-Spell but not when using the Matrix. Consequently, classifiers rely mainly on early evoked potentials in overt attention and on later cognitive components in covert attention.ConclusionsBoth overt and covert attention can be used to drive an ERP-based BCI, but performance is markedly lower for covert attention. The Hex-o-Spell outperforms the Matrix, especially when eye movements are not permitted, illustrating that performance can be increased if one accounts for peculiarities of peripheral vision.",10.1186/1744-9081-6-28,,20509913,https://doi.org/10.1186/1744-9081-6-28,https://www.semanticscholar.org/paper/b048d6ab1b63b0ab3c1adcce69e88ea2577156d2,https://behavioralandbrainfunctions.biomedcentral.com/counter/pdf/10.1186/1744-9081-6-28,Computer Science; Medicine; Psychology,True
2010,6,6,,205.85,citations=275; influential=42; recognized venue; BCI term matches=1; title BCI matches=1; open PDF metadata,d5761505322101c512138a4070250ea8a77743d2,Learning From EEG Error-Related Potentials in Noninvasive Brain-Computer Interfaces,"Ricardo Chavarriaga, J. del R. Millán",IEEE transactions on neural systems and rehabilitation engineering,2010-06-21,275,42,Invasive and Implantable Interfaces,"We describe error-related potentials generated while a human user monitors the performance of an external agent and discuss their use for a new type of brain-computer interaction. In this approach, single trial detection of error-related electroencephalography (EEG) potentials is used to infer the optimal agent behavior by decreasing the probability of agent decisions that elicited such potentials. Contrasting with traditional approaches, the user acts as a critic of an external autonomous system instead of continuously generating control commands. This sets a cognitive monitoring loop where the human directly provides information about the overall system performance that, in turn, can be used for its improvement. We show that it is possible to recognize erroneous and correct agent decisions from EEG (average recognition rates of 75.8% and 63.2%, respectively), and that the elicited signals are stable over long periods of time (from 50 to > 600 days). Moreover, these performances allow to infer the optimal behavior of a simple agent in a brain-computer interaction paradigm after a few trials.",10.1109/TNSRE.2010.2053387,,20570777,https://doi.org/10.1109/TNSRE.2010.2053387,https://www.semanticscholar.org/paper/d5761505322101c512138a4070250ea8a77743d2,https://infoscience.epfl.ch/record/149292/files/ChavarriagaMi10.pdf,Computer Science; Medicine,True
2010,7,7,,202.831,citations=315; influential=23; recognized venue; dataset/benchmark; BCI term matches=2; open PDF metadata,725f9f9a211beec5b4f78878880302c53b0f4573,Regularized Common Spatial Pattern With Aggregation for EEG Classification in Small-Sample Setting,"Haiping Lu, H. Eng, Cuntai Guan, K. Plataniotis, A. Venetsanopoulos",IEEE Transactions on Biomedical Engineering,2010-09-30,315,23,EEG Signal Processing and Datasets,"Common spatial pattern (CSP) is a popular algorithm for classifying electroencephalogram (EEG) signals in the context of brain-computer interfaces (BCIs). This paper presents a regularization and aggregation technique for CSP in a small-sample setting (SSS). Conventional CSP is based on a sample-based covariance-matrix estimation. Hence, its performance in EEG classification deteriorates if the number of training samples is small. To address this concern, a regularized CSP (R-CSP) algorithm is proposed, where the covariance-matrix estimation is regularized by two parameters to lower the estimation variance while reducing the estimation bias. To tackle the problem of regularization parameter determination, R-CSP with aggregation (R-CSP-A) is further proposed, where a number of R-CSPs are aggregated to give an ensemble-based solution. The proposed algorithm is evaluated on data set IVa of BCI Competition III against four other competing algorithms. Experiments show that R-CSP-A significantly outperforms the other methods in average classification performance in three sets of experiments across various testing scenarios, with particular superiority in SSS.",10.1109/TBME.2010.2082540,,20889425,https://doi.org/10.1109/TBME.2010.2082540,https://www.semanticscholar.org/paper/725f9f9a211beec5b4f78878880302c53b0f4573,,Computer Science; Medicine,True
2010,8,8,,199.927,citations=378; influential=20; recognized venue; BCI term matches=1; title BCI matches=1; open PDF metadata,3a09bf5ab8e5d6ec2634934f88b55cd70b186262,Could Anyone Use a BCI?,"B. Allison, C. Neuper",Brain-Computer Interfaces,,378,20,General BCI Methods and Systems,,10.1007/978-1-84996-272-8_3,,,https://doi.org/10.1007/978-1-84996-272-8_3,https://www.semanticscholar.org/paper/3a09bf5ab8e5d6ec2634934f88b55cd70b186262,,Computer Science,True
2010,9,9,,199.092,citations=278; influential=23; recognized venue; BCI term matches=2; title BCI matches=2; open PDF metadata,d107603e20cd80cf55d418473fee35275a5d7f28,Self-Paced Operation of an SSVEP-Based Orthosis With and Without an Imagery-Based “Brain Switch:” A Feasibility Study Towards a Hybrid BCI,"G. Pfurtscheller, T. Solis-Escalante, R. Ortner, Patricia Linortner, G. Müller-Putz",IEEE transactions on neural systems and rehabilitation engineering,2010-02-08,278,23,"SSVEP, P300, and ERP Spellers",,10.1109/TNSRE.2010.2040837,,20144923,https://doi.org/10.1109/TNSRE.2010.2040837,https://www.semanticscholar.org/paper/d107603e20cd80cf55d418473fee35275a5d7f28,,Computer Science; Engineering; Medicine; Psychology,True
2010,10,10,,198.763,citations=317; influential=16; recognized venue; clinical/rehab relevance; BCI term matches=2; title BCI matches=1; open PDF metadata,744bb6b513b1c3db19a2941cc657daf72a5bfbd7,Does the “P300” Speller Depend on Eye Gaze?,"P. Brunner, P. Brunner, P. Brunner, S. Joshi, S. Joshi, S. Briskin, et al.",Journal of Neural Engineering,2010-09-21,317,16,Motor Imagery and Movement Decoding,"Many people affected by debilitating neuromuscular disorders such as amyotrophic lateral sclerosis, brainstem stroke or spinal cord injury are impaired in their ability to, or are even unable to, communicate. A brain–computer interface (BCI) uses brain signals, rather than muscles, to re-establish communication with the outside world. One particular BCI approach is the so-called ‘P300 matrix speller’ that was first described by Farwell and Donchin (1988 Electroencephalogr. Clin. Neurophysiol. 70 510–23). It has been widely assumed that this method does not depend on the ability to focus on the desired character, because it was thought that it relies primarily on the P300-evoked potential and minimally, if at all, on other EEG features such as the visual-evoked potential (VEP). This issue is highly relevant for the clinical application of this BCI method, because eye movements may be impaired or lost in the relevant user population. This study investigated the extent to which the performance in a ‘P300’ speller BCI depends on eye gaze. We evaluated the performance of 17 healthy subjects using a ‘P300’ matrix speller under two conditions. Under one condition (‘letter’), the subjects focused their eye gaze on the intended letter, while under the second condition (‘center’), the subjects focused their eye gaze on a fixation cross that was located in the center of the matrix. The results show that the performance of the ‘P300’ matrix speller in normal subjects depends in considerable measure on gaze direction. They thereby disprove a widespread assumption in BCI research, and suggest that this BCI might function more effectively for people who retain some eye-movement control. The applicability of these findings to people with severe neuromuscular disabilities (particularly in eye-movements) remains to be determined.",10.1088/1741-2560/7/5/056013,,20858924,https://doi.org/10.1088/1741-2560/7/5/056013,https://www.semanticscholar.org/paper/744bb6b513b1c3db19a2941cc657daf72a5bfbd7,https://europepmc.org/articles/pmc2992970?pdf=render,Medicine; Physics; Psychology,True
