year,rank,candidateRank,selectionRank,importanceScore,importanceReasons,paperId,title,authors,venue,publicationDate,citationCount,influentialCitationCount,category,abstract,doi,arxiv,pubmed,url,semanticScholarUrl,openAccessPdf,fieldsOfStudy,candidate,githubUrl
2016,1,,1,312.352,citations=4344; influential=564; recognized venue; BCI term matches=2; open PDF metadata,64a2261b178f09e19a4dbbe5296f9f15cee053e3,EEGNet: a compact convolutional neural network for EEG-based brain–computer interfaces,"Vernon J. Lawhern, Amelia J. Solon, Nicholas R. Waytowich, S. Gordon, C. Hung, Brent Lance",Journal of Neural Engineering,2016-11-23,4344,564,Motor Imagery and Movement Decoding,"Objective. Brain–computer interfaces (BCI) enable direct communication with a computer, using neural activity as the control signal. This neural signal is generally chosen from a variety of well-studied electroencephalogram (EEG) signals. For a given BCI paradigm, feature extractors and classifiers are tailored to the distinct characteristics of its expected EEG control signal, limiting its application to that specific signal. Convolutional neural networks (CNNs), which have been used in computer vision and speech recognition to perform automatic feature extraction and classification, have successfully been applied to EEG-based BCIs; however, they have mainly been applied to single BCI paradigms and thus it remains unclear how these architectures generalize to other paradigms. Here, we ask if we can design a single CNN architecture to accurately classify EEG signals from different BCI paradigms, while simultaneously being as compact as possible. Approach. In this work we introduce EEGNet, a compact convolutional neural network for EEG-based BCIs. We introduce the use of depthwise and separable convolutions to construct an EEG-specific model which encapsulates well-known EEG feature extraction concepts for BCI. We compare EEGNet, both for within-subject and cross-subject classification, to current state-of-the-art approaches across four BCI paradigms: P300 visual-evoked potentials, error-related negativity responses (ERN), movement-related cortical potentials (MRCP), and sensory motor rhythms (SMR). Main results. We show that EEGNet generalizes across paradigms better than, and achieves comparably high performance to, the reference algorithms when only limited training data is available across all tested paradigms. In addition, we demonstrate three different approaches to visualize the contents of a trained EEGNet model to enable interpretation of the learned features. Significance. Our results suggest that EEGNet is robust enough to learn a wide variety of interpretable features over a range of BCI tasks. Our models can be found at: https://github.com/vlawhern/arl-eegmodels.",10.1088/1741-2552/aace8c,1611.08024,29932424,https://doi.org/10.1088/1741-2552/aace8c,https://www.semanticscholar.org/paper/64a2261b178f09e19a4dbbe5296f9f15cee053e3,https://arxiv.org/pdf/1611.08024,Biology; Computer Science; Engineering; Mathematics; Medicine; Physics,False,https://github.com/vlawhern/arl-eegmodels
2016,2,,2,209.381,citations=526; influential=13; recognized venue; clinical/rehab relevance; invasive/high-bandwidth BCI; BCI term matches=2; open PDF metadata,d6eedf0b2032e9e61713496bec4627b3ab88d61c,A Brain–Spinal Interface Alleviating Gait Deficits after Spinal Cord Injury in Primates,"M. Capogrosso, T. Milekovic, D. Borton, Fabien B. Wagner, E. Moraud, Jean-Baptiste Mignardot, et al.",Nature,2016-10-05,526,13,Motor Imagery and Movement Decoding,"Spinal cord injury disrupts the communication between the brain and the spinal circuits that orchestrate movement. To bypass the lesion, brain–computer interfaces have directly linked cortical activity to electrical stimulation of muscles, and have thus restored grasping abilities after hand paralysis. Theoretically, this strategy could also restore control over leg muscle activity for walking. However, replicating the complex sequence of individual muscle activation patterns underlying natural and adaptive locomotor movements poses formidable conceptual and technological challenges. Recently, it was shown in rats that epidural electrical stimulation of the lumbar spinal cord can reproduce the natural activation of synergistic muscle groups producing locomotion. Here we interface leg motor cortex activity with epidural electrical stimulation protocols to establish a brain–spine interface that alleviated gait deficits after a spinal cord injury in non-human primates. Rhesus monkeys (Macaca mulatta) were implanted with an intracortical microelectrode array in the leg area of the motor cortex and with a spinal cord stimulation system composed of a spatially selective epidural implant and a pulse generator with real-time triggering capabilities. We designed and implemented wireless control systems that linked online neural decoding of extension and flexion motor states with stimulation protocols promoting these movements. These systems allowed the monkeys to behave freely without any restrictions or constraining tethered electronics. After validation of the brain–spine interface in intact (uninjured) monkeys, we performed a unilateral corticospinal tract lesion at the thoracic level. As early as six days post-injury and without prior training of the monkeys, the brain–spine interface restored weight-bearing locomotion of the paralysed leg on a treadmill and overground. The implantable components integrated in the brain–spine interface have all been approved for investigational applications in similar human research, suggesting a practical translational pathway for proof-of-concept studies in people with spinal cord injury.",10.1038/nature20118,,27830790,https://doi.org/10.1038/nature20118,https://www.semanticscholar.org/paper/d6eedf0b2032e9e61713496bec4627b3ab88d61c,,Engineering; Medicine,False,
2016,3,,3,200.623,citations=490; influential=20; clinical/rehab relevance; BCI term matches=1; title BCI matches=1; open PDF metadata,9cbd49d3105680b1c1a8aa809e314b9410132fc5,Fully Implanted Brain-Computer Interface in a Locked-In Patient with ALS.,"M. Vansteensel, Elmar G. M. Pels, M. Bleichner, M. Branco, T. Denison, Z. Freudenburg, et al.",New England Journal of Medicine,2016-11-12,490,20,Invasive and Implantable Interfaces,,10.1056/NEJMoa1608085,,27959736,https://doi.org/10.1056/nejmoa1608085,https://www.semanticscholar.org/paper/9cbd49d3105680b1c1a8aa809e314b9410132fc5,,Medicine,False,
2016,4,,4,200.51,citations=447; influential=23; invasive/high-bandwidth BCI; BCI term matches=2; open PDF metadata,a350cd9acaac8aa6a07018363b63e333ef3e8f39,Noninvasive Electroencephalogram Based Control of a Robotic Arm for Reach and Grasp Tasks,"Jianjun Meng, Shuying Zhang, Angeliki Bekyo, Jaron Olsoe, Bryan S. Baxter, Bin He",Scientific Reports,2016-12-14,447,23,Rehabilitation and Neuroprosthetics,"Brain-computer interface (BCI) technologies aim to provide a bridge between the human brain and external devices. Prior research using non-invasive BCI to control virtual objects, such as computer cursors and virtual helicopters, and real-world objects, such as wheelchairs and quadcopters, has demonstrated the promise of BCI technologies. However, controlling a robotic arm to complete reach-and-grasp tasks efficiently using non-invasive BCI has yet to be shown. In this study, we found that a group of 13 human subjects could willingly modulate brain activity to control a robotic arm with high accuracy for performing tasks requiring multiple degrees of freedom by combination of two sequential low dimensional controls. Subjects were able to effectively control reaching of the robotic arm through modulation of their brain rhythms within the span of only a few training sessions and maintained the ability to control the robotic arm over multiple months. Our results demonstrate the viability of human operation of prosthetic limbs using non-invasive BCI technology.",10.1038/srep38565,,27966546,https://doi.org/10.1038/srep38565,https://www.semanticscholar.org/paper/a350cd9acaac8aa6a07018363b63e333ef3e8f39,,Computer Science; Engineering; Medicine,False,
2016,5,,5,178.482,citations=264; influential=11; clinical/rehab relevance; BCI term matches=2; title BCI matches=1; open PDF metadata,28ea9f91b229dd77544aeb92bf5f4f8dbee9e953,Long-Term Training with a Brain-Machine Interface-Based Gait Protocol Induces Partial Neurological Recovery in Paraplegic Patients,"A. Donati, S. Shokur, E. Morya, Debora Campos, R. Moioli, Claudia M. Gitti, et al.",Scientific Reports,2016-08-11,264,11,Motor Imagery and Movement Decoding,"Brain-machine interfaces (BMIs) provide a new assistive strategy aimed at restoring mobility in severely paralyzed patients. Yet, no study in animals or in human subjects has indicated that long-term BMI training could induce any type of clinical recovery. Eight chronic (3–13 years) spinal cord injury (SCI) paraplegics were subjected to long-term training (12 months) with a multi-stage BMI-based gait neurorehabilitation paradigm aimed at restoring locomotion. This paradigm combined intense immersive virtual reality training, enriched visual-tactile feedback and walking with two EEG-controlled robotic actuators, including a custom-designed lower limb exoskeleton capable of delivering tactile feedback to subjects. Following 12 months of training with this paradigm, all eight patients experienced neurological improvements in somatic sensation (pain localization, fine/crude touch and proprioceptive sensing) in multiple dermatomes. Patients also regained voluntary motor control in key muscles below the SCI level, as measured by EMGs, resulting in marked improvement in their walking index. As a result, 50% of these patients were upgraded to an incomplete paraplegia classification. Neurological recovery was paralleled by the reemergence of lower limb motor imagery at cortical level. We hypothesize that this unprecedented neurological recovery results from both cortical and spinal cord plasticity triggered by long-term BMI usage.",10.1038/srep30383,,27513629,https://doi.org/10.1038/srep30383,https://www.semanticscholar.org/paper/28ea9f91b229dd77544aeb92bf5f4f8dbee9e953,,Engineering; Medicine,False,
2016,6,,6,178.91,citations=240; influential=14; clinical/rehab relevance; BCI term matches=1; title BCI matches=1; open PDF metadata,163cf51cbc9d27bdcc930f086b6e248cb8ac01a8,Efficient neuroplasticity induction in chronic stroke patients by an associative brain-computer interface.,"N. Mrachacz‐Kersting, N. Jiang, A. J. T. Stevenson, I. Niazi, V. Kostic, A. Pavlovic, et al.",Journal of Neurophysiology,2016-03-01,240,14,Rehabilitation and Neuroprosthetics,,10.1152/jn.00918.2015,,26719088,https://doi.org/10.1152/jn.00918.2015,https://www.semanticscholar.org/paper/163cf51cbc9d27bdcc930f086b6e248cb8ac01a8,,Medicine; Psychology,False,
2016,7,,7,170.49,citations=218; influential=7; recognized venue; BCI term matches=1; title BCI matches=1; open PDF metadata,ec85c0556e208e3e5c0708aca8f639e724b6af1f,Adaptive Automation Triggered by EEG-Based Mental Workload Index: A Passive Brain-Computer Interface Application in Realistic Air Traffic Control Environment,"P. Aricó, G. Borghini, G. di Flumeri, A. Colosimo, S. Bonelli, A. Golfetti, et al.",Frontiers in Human Neuroscience,2016-10-26,218,7,EEG Signal Processing and Datasets,"Adaptive Automation (AA) is a promising approach to keep the task workload demand within appropriate levels in order to avoid both the under- and over-load conditions, hence enhancing the overall performance and safety of the human-machine system. The main issue on the use of AA is how to trigger the AA solutions without affecting the operative task. In this regard, passive Brain-Computer Interface (pBCI) systems are a good candidate to activate automation, since they are able to gather information about the covert behavior (e.g., mental workload) of a subject by analyzing its neurophysiological signals (i.e., brain activity), and without interfering with the ongoing operational activity. We proposed a pBCI system able to trigger AA solutions integrated in a realistic Air Traffic Management (ATM) research simulator developed and hosted at ENAC (École Nationale de l'Aviation Civile of Toulouse, France). Twelve Air Traffic Controller (ATCO) students have been involved in the experiment and they have been asked to perform ATM scenarios with and without the support of the AA solutions. Results demonstrated the effectiveness of the proposed pBCI system, since it enabled the AA mostly during the high-demanding conditions (i.e., overload situations) inducing a reduction of the mental workload under which the ATCOs were operating. On the contrary, as desired, the AA was not activated when workload level was under the threshold, to prevent too low demanding conditions that could bring the operator's workload level toward potentially dangerous conditions of underload.",10.3389/fnhum.2016.00539,,27833542,https://doi.org/10.3389/fnhum.2016.00539,https://www.semanticscholar.org/paper/ec85c0556e208e3e5c0708aca8f639e724b6af1f,https://www.frontiersin.org/articles/10.3389/fnhum.2016.00539/pdf,Computer Science; Engineering; Medicine,False,
2016,8,,8,183.903,citations=210; influential=10; recognized venue; review/survey; BCI term matches=2; title BCI matches=1; open PDF metadata,c872528788b1c2c1a663497c505a032456747dd0,The Berlin Brain-Computer Interface: Progress Beyond Communication and Control,"B. Blankertz, L. Acqualagna, Sven Dähne, S. Haufe, M. Schultze-Kraft, I. Sturm, et al.",Frontiers in Neuroscience,2016-11-21,210,10,"Speech, Language, and Communication BCIs","The combined effect of fundamental results about neurocognitive processes and advancements in decoding mental states from ongoing brain signals has brought forth a whole range of potential neurotechnological applications. In this article, we review our developments in this area and put them into perspective. These examples cover a wide range of maturity levels with respect to their applicability. While we assume we are still a long way away from integrating Brain-Computer Interface (BCI) technology in general interaction with computers, or from implementing neurotechnological measures in safety-critical workplaces, results have already now been obtained involving a BCI as research tool. In this article, we discuss the reasons why, in some of the prospective application domains, considerable effort is still required to make the systems ready to deal with the full complexity of the real world.",10.3389/fnins.2016.00530,,27917107,https://doi.org/10.3389/fnins.2016.00530,https://www.semanticscholar.org/paper/c872528788b1c2c1a663497c505a032456747dd0,,Computer Science; Engineering; Medicine,False,
2016,9,,9,169.643,citations=205; influential=7; review/survey; BCI term matches=2; title BCI matches=2; open PDF metadata,868b4e1d235bca5fa0fa7745622f8a766d9754e3,Electroencephalographic Motor Imagery Brain Connectivity Analysis for BCI: A Review,"M. Hamedi, S. Salleh, A. M. Noor",Neural Computation,2016-06-01,205,7,Motor Imagery and Movement Decoding,,10.1162/NECO_a_00838,,27137671,https://doi.org/10.1162/neco_a_00838,https://www.semanticscholar.org/paper/868b4e1d235bca5fa0fa7745622f8a766d9754e3,,Computer Science; Engineering; Medicine; Psychology,False,
2016,10,,10,175.941,citations=202; influential=8; recognized venue; invasive/high-bandwidth BCI; BCI term matches=1; title BCI matches=1; open PDF metadata,8e9a1a51767162e8c6a9f581ca6912923d419b6b,Individual Finger Control of the Modular Prosthetic Limb using High-Density Electrocorticography in a Human Subject,"G. Hotson, D. McMullen, M. Fifer, M. Johannes, Kapil D. Katyal, Matthew P. Para, et al.",Journal of Neural Engineering,2016-02-10,202,8,Motor Imagery and Movement Decoding,"Objective. We used native sensorimotor representations of fingers in a brain–machine interface (BMI) to achieve immediate online control of individual prosthetic fingers. Approach. Using high gamma responses recorded with a high-density electrocorticography (ECoG) array, we rapidly mapped the functional anatomy of cued finger movements. We used these cortical maps to select ECoG electrodes for a hierarchical linear discriminant analysis classification scheme to predict: (1) if any finger was moving, and, if so, (2) which digit was moving. To account for sensory feedback, we also mapped the spatiotemporal activation elicited by vibrotactile stimulation. Finally, we used this prediction framework to provide immediate online control over individual fingers of the Johns Hopkins University Applied Physics Laboratory modular prosthetic limb. Main results. The balanced classification accuracy for detection of movements during the online control session was 92% (chance: 50%). At the onset of movement, finger classification was 76% (chance: 20%), and 88% (chance: 25%) if the pinky and ring finger movements were coupled. Balanced accuracy of fully flexing the cued finger was 64%, and 77% had we combined pinky and ring commands. Offline decoding yielded a peak finger decoding accuracy of 96.5% (chance: 20%) when using an optimized selection of electrodes. Offline analysis demonstrated significant finger-specific activations throughout sensorimotor cortex. Activations either prior to movement onset or during sensory feedback led to discriminable finger control. Significance. Our results demonstrate the ability of ECoG-based BMIs to leverage the native functional anatomy of sensorimotor cortical populations to immediately control individual finger movements in real time.",10.1088/1741-2560/13/2/026017,,26863276,https://doi.org/10.1088/1741-2560/13/2/026017,https://www.semanticscholar.org/paper/8e9a1a51767162e8c6a9f581ca6912923d419b6b,,Engineering; Medicine; Physics; Psychology,False,
