year,rank,candidateRank,selectionRank,importanceScore,importanceReasons,paperId,title,authors,venue,publicationDate,citationCount,influentialCitationCount,category,abstract,doi,arxiv,pubmed,url,semanticScholarUrl,openAccessPdf,fieldsOfStudy,candidate,githubUrl
2017,1,,1,240.393,citations=819; influential=61; recognized venue; modern ML method; BCI term matches=1; title BCI matches=1; open PDF metadata,6053679654c06315f39986535a343085b07b3efd,A novel deep learning approach for classification of EEG motor imagery signals,"Y. R. Tabar, U. Halici",Journal of Neural Engineering,2017-02-01,819,61,Motor Imagery and Movement Decoding,,10.1088/1741-2560/14/1/016003,,27900952,https://doi.org/10.1088/1741-2560/14/1/016003,https://www.semanticscholar.org/paper/6053679654c06315f39986535a343085b07b3efd,,Computer Science; Medicine; Physics,False,
2017,2,,2,250.695,citations=691; influential=120; recognized venue; dataset/benchmark; BCI term matches=3; open PDF metadata,25e904e3bb743921a25b8998b3805ed5c052f9bf,Enhancing Detection of SSVEPs for a High-Speed Brain Speller Using Task-Related Component Analysis,"M. Nakanishi, Yijun Wang, Xiaogang Chen, Yu-Te Wang, Xiaorong Gao, T. Jung",IEEE Transactions on Biomedical Engineering,2017-04-19,691,120,"SSVEP, P300, and ERP Spellers","Objective: This study proposes and evaluates a novel data-driven spatial filtering approach for enhancing steady-state visual evoked potentials (SSVEPs) detection toward a high-speed brain-computer interface (BCI) speller. Methods: Task-related component analysis (TRCA), which can enhance reproducibility of SSVEPs across multiple trials, was employed to improve the signal-to-noise ratio (SNR) of SSVEP signals by removing background electroencephalographic (EEG) activities. An ensemble method was further developed to integrate TRCA filters corresponding to multiple stimulation frequencies. This study conducted a comparison of BCI performance between the proposed TRCA-based method and an extended canonical correlation analysis (CCA)-based method using a 40-class SSVEP dataset recorded from 12 subjects. An online BCI speller was further implemented using a cue-guided target selection task with 20 subjects and a free-spelling task with 10 of the subjects. Results: The offline comparison results indicate that the proposed TRCA-based approach can significantly improve the classification accuracy compared with the extended CCA-based method. Furthermore, the online BCI speller achieved averaged information transfer rates (ITRs) of 325.33 ± 38.17 bits/min with the cue-guided task and 198.67 ± 50.48 bits/min with the free-spelling task. Conclusion: This study validated the efficiency of the proposed TRCA-based method in implementing a high-speed SSVEP-based BCI. Significance: The high-speed SSVEP-based BCIs using the TRCA method have great potential for various applications in communication and control.",10.1109/TBME.2017.2694818,,28436836,https://doi.org/10.1109/tbme.2017.2694818,https://www.semanticscholar.org/paper/25e904e3bb743921a25b8998b3805ed5c052f9bf,https://doi.org/10.1109/tbme.2017.2694818,Computer Science; Engineering; Medicine,False,
2017,3,,3,186.719,citations=555; influential=10; BCI term matches=1; title BCI matches=1; open PDF metadata,08d67e1be12b66281fb033410c5b0db88e3dc992,Brain-Machine Interfaces: From Basic Science to Neuroprostheses and Neurorehabilitation.,"M. Lebedev, M. Nicolelis",Physiological Reviews,2017-04-01,555,10,Rehabilitation and Neuroprosthetics,,10.1152/physrev.00027.2016,,28275048,https://doi.org/10.1152/physrev.00027.2016,https://www.semanticscholar.org/paper/08d67e1be12b66281fb033410c5b0db88e3dc992,,Computer Science; Engineering; Medicine; Psychology,False,
2017,4,,4,222.756,citations=484; influential=23; recognized venue; clinical/rehab relevance; invasive/high-bandwidth BCI; BCI term matches=3; title BCI matches=2; open PDF metadata,817574eedd1acbeddb5d802fd7122e90a285d483,High performance communication by people with paralysis using an intracortical brain-computer interface,"C. Pandarinath, Paul Nuyujukian, C. Blabe, B. Sorice, J. Saab, Francis R. Willett, et al.",eLife,2017-02-21,484,23,Motor Imagery and Movement Decoding,"Brain-computer interfaces (BCIs) have the potential to restore communication for people with tetraplegia and anarthria by translating neural activity into control signals for assistive communication devices. While previous pre-clinical and clinical studies have demonstrated promising proofs-of-concept (Serruya et al., 2002; Simeral et al., 2011; Bacher et al., 2015; Nuyujukian et al., 2015; Aflalo et al., 2015; Gilja et al., 2015; Jarosiewicz et al., 2015; Wolpaw et al., 1998; Hwang et al., 2012; Spüler et al., 2012; Leuthardt et al., 2004; Taylor et al., 2002; Schalk et al., 2008; Moran, 2010; Brunner et al., 2011; Wang et al., 2013; Townsend and Platsko, 2016; Vansteensel et al., 2016; Nuyujukian et al., 2016; Carmena et al., 2003; Musallam et al., 2004; Santhanam et al., 2006; Hochberg et al., 2006; Ganguly et al., 2011; O’Doherty et al., 2011; Gilja et al., 2012), the performance of human clinical BCI systems is not yet high enough to support widespread adoption by people with physical limitations of speech. Here we report a high-performance intracortical BCI (iBCI) for communication, which was tested by three clinical trial participants with paralysis. The system leveraged advances in decoder design developed in prior pre-clinical and clinical studies (Gilja et al., 2015; Kao et al., 2016; Gilja et al., 2012). For all three participants, performance exceeded previous iBCIs (Bacher et al., 2015; Jarosiewicz et al., 2015) as measured by typing rate (by a factor of 1.4–4.2) and information throughput (by a factor of 2.2–4.0). This high level of performance demonstrates the potential utility of iBCIs as powerful assistive communication devices for people with limited motor function. Clinical Trial No: NCT00912041 DOI: http://dx.doi.org/10.7554/eLife.18554.001",10.7554/eLife.18554,,28220753,https://doi.org/10.7554/elife.18554,https://www.semanticscholar.org/paper/817574eedd1acbeddb5d802fd7122e90a285d483,https://doi.org/10.7554/elife.18554,Computer Science; Engineering; Medicine,False,
2017,5,,5,204.112,citations=470; influential=23; review/survey; BCI term matches=1; title BCI matches=1; open PDF metadata,f2bc778c26f6945ddf1335bd8ec62c8127662967,Brain computer interface: control signals review,"R. Ramadan, A. Vasilakos",Neurocomputing,2017-02-05,470,23,General BCI Methods and Systems,,10.1016/j.neucom.2016.10.024,,,https://doi.org/10.1016/j.neucom.2016.10.024,https://www.semanticscholar.org/paper/f2bc778c26f6945ddf1335bd8ec62c8127662967,,Computer Science; Medicine,False,
2017,6,,6,233.786,citations=443; influential=85; recognized venue; dataset/benchmark; BCI term matches=1; title BCI matches=1; open PDF metadata,baa175c7c7d56057191866b6fe837a967c140d0e,A Benchmark Dataset for SSVEP-Based Brain–Computer Interfaces,"Yijun Wang, Xiaogang Chen, Xiaorong Gao, Shangkai Gao",IEEE transactions on neural systems and rehabilitation engineering,2017-10-01,443,85,"SSVEP, P300, and ERP Spellers",,10.1109/TNSRE.2016.2627556,,27849543,https://doi.org/10.1109/tnsre.2016.2627556,https://www.semanticscholar.org/paper/baa175c7c7d56057191866b6fe837a967c140d0e,,Computer Science; Engineering; Medicine,False,
2017,7,,7,206.523,citations=404; influential=32; review/survey; BCI term matches=1; title BCI matches=1; open PDF metadata,88b18c1840f07b7a89e0bf8eb5001d30e8bdcdda,Riemannian geometry for EEG-based brain-computer interfaces; a primer and a review,"M. Congedo, A. Barachant, R. Bhatia",,2017-03-27,404,32,EEG Signal Processing and Datasets,,10.1080/2326263X.2017.1297192,,,https://doi.org/10.1080/2326263x.2017.1297192,https://www.semanticscholar.org/paper/88b18c1840f07b7a89e0bf8eb5001d30e8bdcdda,,Computer Science; Engineering; Medicine,False,
2017,8,,8,194.681,citations=394; influential=25; BCI term matches=1; title BCI matches=1; open PDF metadata,9de4562b28d8dd2e96fd5fe73c7b5c3de970858e,Comparison of signal decomposition methods in classification of EEG signals for motor-imagery BCI system,"Jasmin Kevric, A. Subasi",Biomedical Signal Processing and Control,,394,25,Motor Imagery and Movement Decoding,,10.1016/j.bspc.2016.09.007,,,https://doi.org/10.1016/j.bspc.2016.09.007,https://www.semanticscholar.org/paper/9de4562b28d8dd2e96fd5fe73c7b5c3de970858e,,Computer Science; Engineering; Medicine,False,
2017,9,,9,202.321,citations=383; influential=15; recognized venue; review/survey; BCI term matches=1; title BCI matches=1; open PDF metadata,8ab1d2a6947e123f682a30bfd5aa8fdbd4dabda3,Riemannian Approaches in Brain-Computer Interfaces: A Review,"F. Yger, Maxime Bérar, F. Lotte",IEEE transactions on neural systems and rehabilitation engineering,2017-10-01,383,15,General BCI Methods and Systems,,10.1109/TNSRE.2016.2627016,,27845666,https://doi.org/10.1109/tnsre.2016.2627016,https://www.semanticscholar.org/paper/8ab1d2a6947e123f682a30bfd5aa8fdbd4dabda3,,Computer Science; Engineering; Mathematics; Medicine,False,
2017,10,,10,198.799,citations=374; influential=15; recognized venue; modern ML method; BCI term matches=1; title BCI matches=1; open PDF metadata,226575b9b189989965d44538c70b710b526d818f,A Deep Learning Scheme for Motor Imagery Classification based on Restricted Boltzmann Machines,"N. Lu, Tengfei Li, Xiaodong Ren, Hongyu Miao",IEEE transactions on neural systems and rehabilitation engineering,2017-06-01,374,15,Motor Imagery and Movement Decoding,,10.1109/TNSRE.2016.2601240,,27542114,https://doi.org/10.1109/tnsre.2016.2601240,https://www.semanticscholar.org/paper/226575b9b189989965d44538c70b710b526d818f,,Computer Science; Medicine,False,
