year,rank,candidateRank,selectionRank,importanceScore,importanceReasons,paperId,title,authors,venue,publicationDate,citationCount,influentialCitationCount,category,abstract,doi,arxiv,pubmed,url,semanticScholarUrl,openAccessPdf,fieldsOfStudy,candidate
2022,1,1,,200.331,citations=254; influential=19; recognized venue; dataset/benchmark; modern ML method; BCI term matches=3; open PDF metadata,5c4916da79dec4101bea37d409239063893a5542,A Transformer-Based Approach Combining Deep Learning Network and Spatial-Temporal Information for Raw EEG Classification,"J. Xie, J Zhang, Jiayao Sun, Zheng Ma, Liuni Qin, Guanglin Li, et al.",IEEE transactions on neural systems and rehabilitation engineering,2022-08-01,254,19,Motor Imagery and Movement Decoding,"The attention mechanism of the Transformer has the advantage of extracting feature correlation in the long-sequence data and visualizing the model. As time-series data, the spatial and temporal dependencies of the EEG signals between the time points and the different channels contain important information for accurate classification. So far, Transformer-based approaches have not been widely explored in motor-imagery EEG classification and visualization, especially lacking general models based on cross-individual validation. Taking advantage of the Transformer model and the spatial-temporal characteristics of the EEG signals, we designed Transformer-based models for classifications of motor imagery EEG based on the PhysioNet dataset. With 3s EEG data, our models obtained the best classification accuracy of 83.31%, 74.44%, and 64.22% on two-, three-, and four-class motor-imagery tasks in cross-individual validation, which outperformed other state-of-the-art models by 0.88%, 2.11%, and 1.06%. The inclusion of the positional embedding modules in the Transformer could improve the EEG classification performance. Furthermore, the visualization results of attention weights provided insights into the working mechanism of the Transformer-based networks during motor imagery tasks. The topography of the attention weights revealed a pattern of event-related desynchronization (ERD) which was consistent with the results from the spectral analysis of Mu and beta rhythm over the sensorimotor areas. Together, our deep learning methods not only provide novel and powerful tools for classifying and understanding EEG data but also have broad applications for brain-computer interface (BCI) systems.",10.1109/TNSRE.2022.3194600,,35914032,https://doi.org/10.1109/TNSRE.2022.3194600,https://www.semanticscholar.org/paper/5c4916da79dec4101bea37d409239063893a5542,https://ieeexplore.ieee.org/ielx7/7333/4359219/09845479.pdf,Computer Science; Medicine,True
2022,2,2,,179.252,citations=107; influential=14; recognized venue; dataset/benchmark; clinical/rehab relevance; BCI term matches=3; title BCI matches=1; open PDF metadata,9531741e965fa1dd9648816da7ac96f076d4128b,FBMSNet: A Filter-Bank Multi-Scale Convolutional Neural Network for EEG-Based Motor Imagery Decoding,"Ke Liu, Mingzhao Yang, Zhuliang Yu, Guoyin Wang, Wei Wu",IEEE Transactions on Biomedical Engineering,2022-07-22,107,14,Motor Imagery and Movement Decoding,"Object: Motor imagery (MI) is a mental process widely utilized as the experimental paradigm for brain-computer interfaces (BCIs) across a broad range of basic science and clinical studies. However, decoding intentions from MI remains challenging due to the inherent complexity of brain patterns relative to the small sample size available for machine learning. Approach: This paper proposes an end-to-end Filter-Bank Multiscale Convolutional Neural Network (FBMSNet) for MI classification. A filter bank is first employed to derive a multiview spectral representation of the EEG data. Mixed depthwise convolution is then applied to extract temporal features at multiple scales, followed by spatial filtering to mitigate volume conduction. Finally, with the joint supervision of cross-entropy and center loss, FBMSNet obtains features that maximize interclass dispersion and intraclass compactness. Main results: We compare FBMSNet with several state-of-the-art EEG decoding methods on two MI datasets: the BCI Competition IV 2a dataset and the OpenBMI dataset. FBMSNet significantly outperforms the benchmark methods by achieving 79.17% and 70.05% for four-class and two-class hold-out classification accuracy, respectively. Significance: These results demonstrate the efficacy of FBMSNet in improving EEG decoding performance toward more robust BCI applications. The FBMSNet source code is available at https://github.com/Want2Vanish/FBMSNet.",10.1109/TBME.2022.3193277,,35867371,https://doi.org/10.1109/TBME.2022.3193277,https://www.semanticscholar.org/paper/9531741e965fa1dd9648816da7ac96f076d4128b,,Computer Science; Medicine,True
2022,3,3,,178.455,citations=108; influential=14; recognized venue; dataset/benchmark; modern ML method; BCI term matches=3; title BCI matches=1; open PDF metadata,9e8705ef76c85e1707a32b29f4862626c49bcc08,A Transformer-based deep neural network model for SSVEP classification,"Jianbo Chen, Yangsong Zhang, Yudong Pan, Peng Xu, Cuntai Guan",Neural Networks,2022-10-09,108,14,"SSVEP, P300, and ERP Spellers","Steady-state visual evoked potential (SSVEP) is one of the most commonly used control signals in the brain-computer interface (BCI) systems. However, the conventional spatial filtering methods for SSVEP classification highly depend on the subject-specific calibration data. The need for the methods that can alleviate the demand for the calibration data becomes urgent. In recent years, developing the methods that can work in inter-subject scenario has become a promising new direction. As a popular deep learning model nowadays, Transformer has been used in EEG signal classification tasks owing to its excellent performance. Therefore, in this study, we proposed a deep learning model for SSVEP classification based on Transformer architecture in inter-subject scenario, termed as SSVEPformer, which was the first application of Transformer on the SSVEP classification. Inspired by previous studies, we adopted the complex spectrum features of SSVEP data as the model input, which could enable the model to simultaneously explore the spectral and spatial information for classification. Furthermore, to fully utilize the harmonic information, an extended SSVEPformer based on the filter bank technology (FB-SSVEPformer) was proposed to improve the classification performance. Experiments were conducted using two open datasets (Dataset 1: 10 subjects, 12 targets; Dataset 2: 35 subjects, 40 targets). The experimental results show that the proposed models could achieve better results in terms of classification accuracy and information transfer rate than other baseline methods. The proposed models validate the feasibility of deep learning models based on Transformer architecture for SSVEP data classification, and could serve as potential models to alleviate the calibration procedure in the practical application of SSVEP-based BCI systems.",10.48550/arXiv.2210.04172,2210.04172,37209444,https://doi.org/10.48550/arXiv.2210.04172,https://www.semanticscholar.org/paper/9e8705ef76c85e1707a32b29f4862626c49bcc08,http://arxiv.org/pdf/2210.04172,Biology; Computer Science; Medicine,True
2022,4,4,,175.913,citations=175; influential=10; recognized venue; invasive/high-bandwidth BCI; BCI term matches=2; open PDF metadata,8a717a61f5828d91c6a18568c2ad4f9f9c1222d9,Imagined speech can be decoded from low- and cross-frequency intracranial EEG features,"Timothée Proix, Jaime F. Delgado Saa, Andy Christen, Stéphanie Martin, Brian N. Pasley, R. Knight, et al.",Nature Communications,2022-01-10,175,10,Invasive and Implantable Interfaces,"Reconstructing intended speech from neural activity using brain-computer interfaces holds great promises for people with severe speech production deficits. While decoding overt speech has progressed, decoding imagined speech has met limited success, mainly because the associated neural signals are weak and variable compared to overt speech, hence difficult to decode by learning algorithms. We obtained three electrocorticography datasets from 13 patients, with electrodes implanted for epilepsy evaluation, who performed overt and imagined speech production tasks. Based on recent theories of speech neural processing, we extracted consistent and specific neural features usable for future brain computer interfaces, and assessed their performance to discriminate speech items in articulatory, phonetic, and vocalic representation spaces. While high-frequency activity provided the best signal for overt speech, both low- and higher-frequency power and local cross-frequency contributed to imagined speech decoding, in particular in phonetic and vocalic, i.e. perceptual, spaces. These findings show that low-frequency power and cross-frequency dynamics contain key information for imagined speech decoding. Reconstructing imagined speech from neural activity holds great promises for people with severe speech production deficits. Here, the authors demonstrate using human intracranial recordings that both low- and higher-frequency power and local cross-frequency contribute to imagined speech decoding.",10.1038/s41467-021-27725-3,,35013268,https://doi.org/10.1038/s41467-021-27725-3,https://www.semanticscholar.org/paper/8a717a61f5828d91c6a18568c2ad4f9f9c1222d9,https://www.nature.com/articles/s41467-021-27725-3.pdf,Medicine,True
2022,5,5,,172.412,citations=86; influential=10; recognized venue; clinical/rehab relevance; invasive/high-bandwidth BCI; BCI term matches=4; title BCI matches=2; open PDF metadata,639394dafb46495b9af516b4aedc26df50a508fa,SSVEP-Based Brain Computer Interface Controlled Soft Robotic Glove for Post-Stroke Hand Function Rehabilitation,"Ning Guo, Xiaojun Wang, Dehao Duanmu, Xin Huang, Xiaodong Li, Yunli Fan, et al.",IEEE transactions on neural systems and rehabilitation engineering,2022-06-22,86,10,Motor Imagery and Movement Decoding,"Soft robotic glove with brain computer interfaces (BCI) control has been used for post-stroke hand function rehabilitation. Motor imagery (MI) based BCI with robotic aided devices has been demonstrated as an effective neural rehabilitation tool to improve post-stroke hand function. It is necessary for a user of MI-BCI to receive a long time training, while the user usually suffers unsuccessful and unsatisfying results in the beginning. To propose another non-invasive BCI paradigm rather than MI-BCI, steady-state visually evoked potentials (SSVEP) based BCI was proposed as user intension detection to trigger the soft robotic glove for post-stroke hand function rehabilitation. Thirty post-stroke patients with impaired hand function were randomly and equally divided into three groups to receive conventional, robotic, and BCI-robotic therapy in this randomized control trial (RCT). Clinical assessment of Fugl-Meyer Motor Assessment of Upper Limb (FMA-UL), Wolf Motor Function Test (WMFT) and Modified Ashworth Scale (MAS) were performed at pre-training, post-training and three months follow-up. In comparing to other groups, The BCI-robotic group showed significant improvement after training in FMA full score (10.05 ± 8.03, p = 0.001), FMA shoulder/elbow (6.2 ± 5.94, p = 0.0004) and FMA wrist/hand (4.3 ± 2.83, p = 0.007), and WMFT (5.1 ± 5.53, p = 0.037). The improvement of FMA was significantly correlated with BCI accuracy (r = 0.714, p = 0.032). Recovery of hand function after rehabilitation of SSVEP-BCI controlled soft robotic glove showed better result than solely robotic glove rehabilitation, equivalent efficacy as results from previous reported MI-BCI robotic hand rehabilitation. It proved the feasibility of SSVEP-BCI controlled soft robotic glove in post-stroke hand function rehabilitation.",10.1109/TNSRE.2022.3185262,,35731756,https://doi.org/10.1109/TNSRE.2022.3185262,https://www.semanticscholar.org/paper/639394dafb46495b9af516b4aedc26df50a508fa,https://ieeexplore.ieee.org/ielx7/7333/4359219/09803244.pdf,Engineering; Medicine,True
2022,6,6,,171.667,citations=118; influential=6; recognized venue; dataset/benchmark; clinical/rehab relevance; modern ML method; BCI term matches=3; title BCI matches=1; open PDF metadata,659d05a0a8f037dd672754d7b6aad1c0d3648ed5,Attention-Inception and Long- Short-Term Memory-Based Electroencephalography Classification for Motor Imagery Tasks in Rehabilitation,"S. Amin, Hamdi Altaheri, G. Muhammad, Mansour Alsulaiman, A. Wadood",IEEE Transactions on Industrial Informatics,2022-08-01,118,6,Motor Imagery and Movement Decoding,"In recent years, the contributions of deep learning have had a phenomenal impact on electroencephalography-based brain-computer interfaces. While the decoding accuracy of electroencephalography signals has continued to increase, the process has caused deep learning models to continuously expand in terms of size and computational resource requirements. However, due to their increased size and computational requirements, it has become difficult to embed, store, and execute deep learning models for artificial intelligence of things, cloud-based, or edge devices used in rehabilitation. Hence, this article proposes a novel deep learning-based lightweight model based on attention-inception convolutional neural network and long- short-term memory. The proposed model achieves excellent accuracy on public competition datasets while requiring few parameters and low computational time. Using the BCI competition IV 2a dataset and the high gamma dataset, the proposed model achieved 82.8% and 97.1% accuracies, respectively.",10.1109/tii.2021.3132340,,,https://doi.org/10.1109/tii.2021.3132340,https://www.semanticscholar.org/paper/659d05a0a8f037dd672754d7b6aad1c0d3648ed5,,Computer Science; Engineering; Medicine,True
2022,7,7,,168.958,citations=117; influential=13; dataset/benchmark; modern ML method; BCI term matches=3; title BCI matches=1; open PDF metadata,8fc3e196c08999f063152e537cef24519563e0d6,EEG-ITNet: An Explainable Inception Temporal Convolutional Network for motor imagery classification,"Abbas Salami, Javier Andreu-Perez, H. Gillmeister",IEEE Access,2022-04-14,117,13,Motor Imagery and Movement Decoding,"In recent years, neural networks and especially deep architectures have received substantial attention for EEG signal analysis in the field of brain-computer interfaces (BCIs). In this ongoing research area, the end-to-end models are more favoured than traditional approaches requiring signal transformation pre-classification. They can eliminate the need for prior information from experts and the extraction of handcrafted features. However, although several deep learning algorithms have been already proposed in the literature, achieving high accuracies for classifying motor movements or mental tasks, they often face a lack of interpretability and therefore are not quite favoured by the neuroscientific community. The reasons behind this can be the high number of parameters and the sensitivity of deep neural networks to capture tiny yet unrelated discriminative features. We propose an end-to-end deep learning architecture called EEG-ITNet and a more comprehensible method to visualise the network learned patterns. Using inception modules and causal convolutions with dilation, our model can extract rich spectral, spatial, and temporal information from multi-channel EEG signals with less complexity (in terms of the number of trainable parameters) than other existing end-to-end architectures such as EEG-Inception and EEG-TCNet. By an exhaustive evaluation on dataset 2a from BCI competition IV and OpenBMI motor imagery dataset, EEG-ITNet shows up to 5.9% improvement in the classification accuracy in different scenarios with statistical significance compared to its competitors. We also comprehensively explain and support the validity of network illustration from a neuroscientific perspective. We have also made our code freely accessible at https://github.com/AbbasSalami/EEG-ITNet.",10.1109/ACCESS.2022.3161489,2204.06947,,https://doi.org/10.1109/ACCESS.2022.3161489,https://www.semanticscholar.org/paper/8fc3e196c08999f063152e537cef24519563e0d6,https://ieeexplore.ieee.org/ielx7/6287639/9668973/09739771.pdf,Biology; Computer Science,True
2022,8,8,,168.947,citations=233; influential=7; review/survey; BCI term matches=1; title BCI matches=1; open PDF metadata,333bfe5956a62b14a35fca0f5dc1a2e8220d4b15,Review of Machine Learning Techniques for EEG Based Brain Computer Interface,"Swati Aggarwal, Nupur Chugh",Archives of Computational Methods in Engineering,2022-01-07,233,7,EEG Signal Processing and Datasets,,10.1007/s11831-021-09684-6,,,https://doi.org/10.1007/s11831-021-09684-6,https://www.semanticscholar.org/paper/333bfe5956a62b14a35fca0f5dc1a2e8220d4b15,,Computer Science; Medicine,True
2022,9,9,,167.805,citations=176; influential=7; dataset/benchmark; modern ML method; BCI term matches=3; title BCI matches=1; open PDF metadata,905abaeff600cfa3adfa03260c0fd9493ea812fa,A transfer learning-based CNN and LSTM hybrid deep learning model to classify motor imagery EEG signals,"Zahra Khademi, F. Ebrahimi, H. M. Kordy",Comput. Biol. Medicine,2022-02-10,176,7,Motor Imagery and Movement Decoding,"In the Motor Imagery (MI)-based Brain Computer Interface (BCI), users' intention is converted into a control signal through processing a specific pattern in brain signals reflecting motor characteristics. There are such restrictions as the limited size of the existing datasets and low signal to noise ratio in the classification of MI Electroencephalogram (EEG) signals. Machine learning (ML) methods, particularly Deep Learning (DL), have overcome these limitations relatively. In this study, three hybrid models were proposed to classify the EEG signal in the MI-based BCI. The proposed hybrid models consist of the convolutional neural networks (CNN) and the Long-Short Term Memory (LSTM). In the first model, the CNN with different number of convolutional-pooling blocks (from shallow to deep CNN) was examined; a two-block CNN model not affected by the vanishing gradient descent and yet able to extract desirable features employed; the second and third models contained pre-trained CNNs conducing to the exploration of more complex features. The transfer learning strategy and data augmentation methods were applied to overcome the limited size of the datasets by transferring learning from one model to another. This was achieved by employing two powerful pre-trained convolutional neural networks namely ResNet-50 and Inception-v3. The continuous wavelet transform (CWT) was used to generate images for the CNN. The performance of the proposed models was evaluated on the BCI Competition IV dataset 2a. The mean accuracy vlaues of 92%, 90%, and 86%, and mean Kappa values of 88%, 86%, and 81% were obtained for the hybrid neural network with the customized CNN, the hybrid neural network with ResNet-50 and the hybrid neural network with Inception-v3, respectively. Despite the promising performance of the three proposed models, the hybrid neural network with Inception-v3 outperformed the two other models. The best obtained result in the present study improved the previous best result in the literature by 7% in terms of classification accuracy. From the findings, it can be concluded that transfer learning based on a pre-trained CNN in combination with LSTM is a novel method in MI-based BCI. The study also has implications for the discrimination of motor imagery tasks in each EEG recording channel and in different brain regions which can reduce computational time in future works by only selecting the most effective channels.",10.1016/j.compbiomed.2022.105288,,35168083,https://doi.org/10.1016/j.compbiomed.2022.105288,https://www.semanticscholar.org/paper/905abaeff600cfa3adfa03260c0fd9493ea812fa,,Computer Science; Engineering; Medicine,True
2022,10,10,,164.978,citations=286; influential=4; review/survey; BCI term matches=1; title BCI matches=1; open PDF metadata,30186f466b7456a20e29cde48c20f0192548a59a,"Past, Present, and Future of EEG-Based BCI Applications","Kaido Värbu, M. Naveed, Yar Muhammad",Italian National Conference on Sensors,2022-04-26,286,4,"SSVEP, P300, and ERP Spellers","An electroencephalography (EEG)-based brain–computer interface (BCI) is a system that provides a pathway between the brain and external devices by interpreting EEG. EEG-based BCI applications have initially been developed for medical purposes, with the aim of facilitating the return of patients to normal life. In addition to the initial aim, EEG-based BCI applications have also gained increasing significance in the non-medical domain, improving the life of healthy people, for instance, by making it more efficient, collaborative and helping develop themselves. The objective of this review is to give a systematic overview of the literature on EEG-based BCI applications from the period of 2009 until 2019. The systematic literature review has been prepared based on three databases PubMed, Web of Science and Scopus. This review was conducted following the PRISMA model. In this review, 202 publications were selected based on specific eligibility criteria. The distribution of the research between the medical and non-medical domain has been analyzed and further categorized into fields of research within the reviewed domains. In this review, the equipment used for gathering EEG data and signal processing methods have also been reviewed. Additionally, current challenges in the field and possibilities for the future have been analyzed.",10.3390/s22093331,,35591021,https://doi.org/10.3390/s22093331,https://www.semanticscholar.org/paper/30186f466b7456a20e29cde48c20f0192548a59a,https://www.mdpi.com/1424-8220/22/9/3331/pdf?version=1651135666,Computer Science; Engineering; Medicine,True
